fecha,SP74663,SF4782
01/01/1981,,1.47
01/02/1981,,1.40
01/03/1981,,1.34
01/04/1981,,1.32
01/05/1981,,1.22
01/06/1981,,1.14
01/07/1981,,1.08
01/08/1981,,1.03
01/09/1981,,0.97
01/10/1981,,0.86
01/11/1981,,0.90
01/12/1981,,0.94
01/01/1982,,0.77
01/02/1982,2.8700,0.78
01/03/1982,1.6700,0.77
01/04/1982,4.3100,0.61
01/05/1982,3.6800,0.49
01/06/1982,3.3600,0.56
01/07/1982,5.6000,0.51
01/08/1982,16.9000,0.54
01/09/1982,4.8200,0.68
01/10/1982,3.0900,0.65
01/11/1982,2.3600,0.75
01/12/1982,21.4400,0.67
01/01/1983,8.2400,0.79
01/02/1983,2.7100,0.86
01/03/1983,4.0700,0.83
01/04/1983,8.4000,0.91
01/05/1983,4.3900,1.09
01/06/1983,3.5700,1.42
01/07/1983,2.0000,1.59
01/08/1983,1.0900,1.57
01/09/1983,2.0900,2.01
01/10/1983,3.6100,2.00
01/11/1983,6.1000,2.03
01/12/1983,4.0200,2.45
01/01/1984,9.8200,3.37
01/02/1984,3.3800,4.03
01/03/1984,4.3200,3.35
01/04/1984,7.4600,2.88
01/05/1984,4.6200,3.28
01/06/1984,2.1000,3.17
01/07/1984,2.2800,3.30
01/08/1984,2.9100,3.88
01/09/1984,0.7800,4.36
01/10/1984,1.2900,3.99
01/11/1984,3.7500,4.20
01/12/1984,4.3400,4.03
01/01/1985,14.9900,3.71
01/02/1985,3.0100,4.20
01/03/1985,1.6200,4.39
01/04/1985,3.9300,4.81
01/05/1985,0.7600,4.59
01/06/1985,1.3100,4.95
01/07/1985,3.4200,5.69
01/08/1985,3.8000,6.74
01/09/1985,2.3700,7.28
01/10/1985,2.2800,9.60
01/11/1985,4.1900,10.83
01/12/1985,15.2400,11.19
01/01/1986,9.7100,14.20
01/02/1986,1.9300,14.10
01/03/1986,2.5200,13.30
01/04/1986,4.3200,12.80
01/05/1986,4.6000,14.70
01/06/1986,4.2700,15.90
01/07/1986,4.8900,19.30
01/08/1986,16.0900,22.30
01/09/1986,5.0600,28.60
01/10/1986,2.8200,35.20
01/11/1986,6.7300,41.70
01/12/1986,8.5400,47.10
01/01/1987,7.4100,60.28
01/02/1987,6.0800,79.82
01/03/1987,5.1200,98.52
01/04/1987,14.0100,122.30
01/05/1987,8.5600,143.31
01/06/1987,6.5000,161.67
01/07/1987,6.4400,226.99
01/08/1987,11.0300,287.40
01/09/1987,3.7000,343.54
01/10/1987,6.8800,200.02
01/11/1987,3.2200,113.63
01/12/1987,23.2400,105.67
01/01/1988,23.0100,139.62
01/02/1988,2.0300,200.59
01/03/1988,2.2900,174.40
01/04/1988,3.7100,154.16
01/05/1988,1.9500,188.07
01/06/1988,4.3200,186.57
01/07/1988,3.9700,188.08
01/08/1988,0.6700,196.52
01/09/1988,1.6900,197.87
01/10/1988,1.1700,197.82
01/11/1988,2.9000,229.58
01/12/1988,2.8400,211.53
01/01/1989,0.1800,210.21
01/02/1989,-0.7300,208.31
01/03/1989,0.1500,232.02
01/04/1989,2.4200,261.73
01/05/1989,2.4700,302.94
01/06/1989,2.1200,348.49
01/07/1989,1.2800,354.25
01/08/1989,0.2700,399.66
01/09/1989,-0.8700,427.67
01/10/1989,0.4900,400.36
01/11/1989,0.9100,384.75
01/12/1989,4.9100,418.93
01/01/1990,8.0100,444.75
01/02/1990,3.6100,473.02
01/03/1990,2.5000,489.62
01/04/1990,0.1700,525.61
01/05/1990,-0.0100,650.29
01/06/1990,1.2200,615.33
01/07/1990,1.2400,673.14
01/08/1990,1.3700,580.98
01/09/1990,0.7400,522.08
01/10/1990,0.8800,611.38
01/11/1990,4.3100,626.71
01/12/1990,4.1500,628.79
01/01/1991,2.1700,622.99
01/02/1991,1.1300,659.17
01/03/1991,1.2200,803.35
01/04/1991,0.8900,901.14
