fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,444884,SL136,SL137,SL138,SL11136,SL11137,SL11138,SL11139,SL2829,SL2830,SL5113,SL5114,SL11298,SL11295,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF235719,SF235716,SF61745,SF282,SF3338,SF3270,SF3367,SF17990,SF18608,SF30057,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
1985-01-01,,,,,,,,,,,,,,31.5,,,,,,,,,0.9388,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.33,51.74,,,,,,,,,68.8824,88.518,118.373,74.779,,,,,,,0.502711,0.546939,0.604196,0.42685,0.797845,0.448772,0.520881,0.211554,0.446257,0.384751,0.510724,0.35907,0.613211,0.275558,0.302878,0.217715,,3.71,,34425.0
1985-02-01,,,,,,,,,,,,,,32.0,,,,,,,,,0.9388,,,,,,,,,,,,,,,,,,,,,,,,,,,48.26,49.66,51.15,,,,,,,,,66.8016,87.866,118.105,74.396,,,,,,,0.523596,0.571629,0.63043,0.450697,0.824324,0.47049,0.543059,0.219158,0.469908,0.396319,0.524106,0.332357,0.654933,0.285653,0.310981,0.231644,,4.2,,31779.0
1985-03-01,,,,,,,,,,,,,,31.4,,,,,,,,,0.9388,,,,,,,,,,,,,,,,,,,,,,,,,,,55.29,57.58,53.35,,,,,,,,,66.231,87.558,118.13,74.12,,,,,,,0.543885,0.597757,0.662245,0.476135,0.861785,0.487788,0.561774,0.219161,0.488908,0.402755,0.535461,0.34189,0.667465,0.287684,0.312793,0.234084,,4.39,,30991.0
1985-04-01,,,,,,,,,,,,,,32.8,,,,,,,,,0.9388,,,,,,,,,,,,,,,,,,,,,,,,,,,57.77,59.3,64.32,,,,,,,,,69.0704,87.316,118.72,73.548,,,,,,,0.560621,0.614614,0.67924,0.485006,0.889046,0.503901,0.577519,0.219161,0.50757,0.418594,0.566659,0.394651,0.683029,0.289698,0.314564,0.236556,,4.81,,63300.0
1985-05-01,,,,,,,,,,,,,,32.1,,,,,,,,,0.9388,,,,,,,,,,,,,,,,,,,,,,,,,,,56.08,59.95,63.0,,,,,,,,,69.4595,87.363,119.053,73.382,,,,,,,0.573902,0.632167,0.697411,0.495354,0.916863,0.520014,0.593864,0.225624,0.525078,0.421795,0.574021,0.396215,0.694435,0.289136,0.313068,0.237859,,4.59,,62313.0
1985-06-01,,,,,,,,,,,,,,32.5,,,,,,,,,1.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,61.98,64.67,,,,,,,,,,70.5276,84.486,119.084,70.947,,,,,,,0.588276,0.650252,0.716266,0.507096,0.944189,0.536427,0.613099,0.229441,0.541784,0.427301,0.583354,0.41239,0.698812,0.291224,0.313638,0.242941,,4.95,,33193.0
1985-07-01,,,,,,,,,,,,,,32.0,,,,,,,,,1.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,65.54,70.91,74.01,,,,,,,,,75.1907,83.89,119.103,70.435,,,,,,,0.608763,0.673014,0.737754,0.515205,0.983429,0.560228,0.639107,0.230624,0.567632,0.441925,0.612023,0.452165,0.719299,0.293209,0.315437,0.245269,,5.69,,53845.0
1985-08-01,,,,,,,,,,,,,,32.8,,,,,,,,,1.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,69.31,73.91,,,,,,,,,,86.307,83.43,118.968,70.128,,,,,,,0.635377,0.703559,0.771122,0.532857,1.036592,0.585817,0.661602,0.249857,0.596285,0.458723,0.642952,0.457817,0.767865,0.297325,0.317336,0.253742,,6.74,,92129.0
1985-09-01,,,,,,,,,,,,,,32.1,,,,,,,,,1.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,65.35,69.48,,,,,,,,,,85.9856,82.855,118.144,70.131,,,,,,,0.660752,0.734981,0.80088,0.549238,1.083021,0.61854,0.685345,0.342261,0.62729,0.469589,0.660716,0.463482,0.794041,0.302044,0.321452,0.2596,,7.28,,68940.0
1985-10-01,,,,,,,,,,,,,,32.0,,,,,,,,,1.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,61.95,66.6,,,,,,,,,,91.256,83.507,118.898,70.234,,,,,,,0.685852,0.766076,0.838323,0.573138,1.136387,0.63972,0.708861,0.344981,0.649869,0.480299,0.679271,0.483989,0.811019,0.305736,0.32465,0.264226,,9.6,,177984.0
