ERROR:root:Serie 737219 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 737226 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 737233 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 737268 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 444884 could not be retrieved: 'bmx'
ERROR:root:Serie 673095 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 673096 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 673097 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 673098 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 673099 could not be retrieved: list indices must be integers or slices, not str
ERROR:root:Serie 673100 could not be retrieved: list indices must be integers or slices, not str
